task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cs,element_rmse_Cs,element_mae_I,element_rmse_I,element_mae_Pb,element_rmse_Pb,mode,run_id
temperature,temperature_ood_1200K,small,40,300,0,100,32000,0.05421756376471749,0.16191824128940224,6.311617894994015e-15,8.4053146969527,0.02626660842797719,0.04299333278691484,0.06154005538871535,0.04952775925790532,0.19700995499192223,0.07951120826295666,0.10421918631548406,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed0
temperature,temperature_ood_0600K,small,40,300,1,100,32000,0.013304285307708778,0.020630303172177563,4.763966998666546e-15,1.0162891547381878,0.003175903608556837,0.016215149201510938,0.0206051936964859,0.010565507587506242,0.016274357480708886,0.018609754574514227,0.03014811608343678,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed1
temperature,temperature_ood_0900K,small,40,300,1,100,32000,0.021860111789472284,0.04096502334369476,5.128120150743598e-15,2.235949453562498,0.006987342042382806,0.019260732919239673,0.024847083042583942,0.018199417202946884,0.03872126598447265,0.03544157441928109,0.05723005184080638,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed1
temperature,temperature_ood_1200K,small,40,300,1,100,32000,0.04182997893692372,0.09530134556186122,5.8847371420256425e-15,1.3980462849140167,0.004368894640356303,0.025686675347635177,0.03579086745787047,0.035656401873044766,0.08712229884798611,0.07649401371784915,0.14615013262548263,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed1
temperature,temperature_ood_0600K,small,40,300,2,100,32000,0.0177611422005808,0.025440805213956637,5.081490783709342e-15,1.3595800775289535,0.00424868774227798,0.024632586253923363,0.031372098463305645,0.013595835765125231,0.019725653134955258,0.023385617453604936,0.03293417849103513,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed2
temperature,temperature_ood_0900K,small,40,300,2,100,32000,0.02694755360881682,0.041952041256703404,4.862776847858185e-15,4.442754756510258,0.013883608614094555,0.029335558522405335,0.03748259495990355,0.021015018146242556,0.03502758131686832,0.042357155082951084,0.06094365877072911,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed2
temperature,temperature_ood_1200K,small,40,300,2,100,32000,0.04972180768820398,0.09884153082174736,6.589728762662616e-15,5.943043800145388,0.018572011875454337,0.0384908069922385,0.051923970955253,0.04052689492217663,0.08697910045387941,0.08853754668225156,0.1531536828446253,baseline,temperature__temperature_low_train__baseline__small__n040_te0300_r1_seed2
temperature,temperature_ood_0600K,small,40,600,0,100,32000,0.00753894987826934,0.018901601762057733,5.92526028242446e-15,0.3739801985025405,0.001168688120320439,0.008830975083867088,0.011116993542690436,0.006131563243339769,0.020210980865401507,0.010469084577460305,0.020912052931360486,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed0
temperature,temperature_ood_0900K,small,40,600,0,100,32000,0.015659768303623426,0.0691259393906673,5.576650252692161e-15,1.708765017092228,0.005339890678413213,0.01181591329103685,0.016579096270365648,0.015677873388864103,0.08541612810309798,0.019449308060487967,0.041585649323949044,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed0
temperature,temperature_ood_1200K,small,40,600,0,100,32000,0.038723237843757675,0.23271317428213878,6.460387780293786e-15,3.080113147124648,0.009625353584764525,0.021458175037063487,0.040101045182632244,0.044322954823175685,0.29512965791322304,0.03918914971219783,0.08868183950323649,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed0
temperature,temperature_ood_0600K,small,40,600,1,100,32000,0.00675966689940542,0.015316888766194688,5.3279602951761265e-15,0.3788384543359279,0.0011838701697997748,0.008526943926903188,0.0109994707682007,0.00587484911706512,0.015963702333902936,0.007646843218928554,0.016956640987619846,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed1
temperature,temperature_ood_0900K,small,40,600,1,100,32000,0.012937974781761294,0.046897576555570204,5.644373857194296e-15,0.7341316764056681,0.0022941614887677132,0.010682112238791888,0.014490419724214644,0.013649301101439049,0.056775037419500046,0.013059858365697435,0.03341745873322863,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed1
temperature,temperature_ood_1200K,small,40,600,1,100,32000,0.030699301329124136,0.13504480942246697,5.946354519892339e-15,2.667112324386835,0.00833472601370886,0.017320067613749417,0.026655681795494792,0.034343669184357474,0.16126337565203128,0.03314543147879885,0.11161249216689409,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed1
temperature,temperature_ood_0600K,small,40,600,2,100,32000,0.009332501899742055,0.01656178114174065,6.661338147750939e-15,0.5559131425619125,0.0017372285705059766,0.010038681427366098,0.012616125223535814,0.008889701646151178,0.014465638646534528,0.009954723132890649,0.024177101830498725,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed2
temperature,temperature_ood_0900K,small,40,600,2,100,32000,0.01581203254206921,0.03318714810477824,5.734301922188933e-15,1.645824785232544,0.0051432024538517,0.012263373175868763,0.015300552649972038,0.015719004192389547,0.030078513828020983,0.019639776957308643,0.05058335796426049,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed2
temperature,temperature_ood_1200K,small,40,600,2,100,32000,0.03431125572426754,0.09163949721621084,6.127320872906239e-15,1.1880900944396853,0.0037127815451240167,0.015896929510643535,0.02297634164961132,0.034833487178383325,0.07444905597205763,0.05115888757554421,0.15758518067765193,baseline,temperature__temperature_low_train__baseline__small__n040_te0600_r1_seed2
temperature,temperature_ood_0600K,small,80,300,0,100,32000,0.009079318618401885,0.019886159863084202,5.268008251846368e-15,0.6027112835645676,0.001883472761139273,0.011398605834343468,0.014556879907112802,0.007017466711443072,0.020407416512859582,0.012945587123336735,0.02271576702826914,baseline,temperature__temperature_low_train__baseline__small__n080_te0300_r1_seed0
temperature,temperature_ood_0900K,small,80,300,0,100,32000,0.018334472827316498,0.06834184012994543,6.277200981230635e-15,2.3995501577854155,0.007498594243079424,0.015500714553927536,0.02171737444698085,0.01722701566921508,0.08346698185040663,0.024490602575009693,0.04451044856229146,baseline,temperature__temperature_low_train__baseline__small__n080_te0300_r1_seed0
temperature,temperature_ood_1200K,small,80,300,0,100,32000,0.04287033251315733,0.22478530101072347,7.409628466348294e-15,3.9875399021059277,0.012461062194081022,0.026937050289088802,0.04652547043810643,0.04620143706263723,0.2835549685396704,0.048810301088786215,0.09626670142017102,baseline,temperature__temperature_low_train__baseline__small__n080_te0300_r1_seed0
