task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cl,element_rmse_Cl,element_mae_Na,element_rmse_Na,mode,run_id
temperature,temperature_ood_0650K,small,20,300,2,320,69120,0.0432624631869564,0.056659615639381926,7.382289224366901e-15,1.371353385783732,0.006348858267517276,0.04475748999879408,0.05912116833729492,0.04176743637511874,0.054086149273526785,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed2
temperature,temperature_ood_0700K,small,20,300,2,320,69120,0.05151240732285722,0.06637429177530728,6.929005980094161e-15,1.647166104183998,0.00762576900085184,0.052816563938721285,0.06905187848638131,0.05020825070699316,0.06358404905988038,baseline,temperature_low_train__baseline__small__n020_te0300_r1_seed2
temperature,temperature_ood_0600K,small,20,600,0,320,69120,0.01933024160871193,0.0279450734298364,8.622963454385513e-15,0.32970654014497996,0.0015264191673378701,0.0195875195019996,0.02833420711502563,0.019072963715424256,0.02755044401022836,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed0
temperature,temperature_ood_0650K,small,20,600,0,320,69120,0.02389682549384818,0.033648586179428994,8.424684561081364e-15,0.343760702572763,0.0015914847341331616,0.024081093306432506,0.03373926873323899,0.023712557681263853,0.03355765857587805,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed0
temperature,temperature_ood_0700K,small,20,600,0,320,69120,0.029133904992621293,0.04032634759603219,8.041831089933283e-15,0.3691261037252843,0.0017089171468763163,0.029213622349896627,0.04021206077513181,0.029054187635345945,0.04044031143659908,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed0
temperature,temperature_ood_0600K,small,20,600,1,320,69120,0.006704173434097116,0.011119477262119535,9.730757866144301e-15,0.15746262343600392,0.0007289936270185365,0.007191704832912014,0.012735591486882851,0.006216642035282215,0.009224438120819271,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed1
temperature,temperature_ood_0650K,small,20,600,1,320,69120,0.008158689710647425,0.0134446937841741,8.696168785071734e-15,0.20632193945348262,0.0009551941641364936,0.00868706050792336,0.015351199768709592,0.007630318913371488,0.011218745364860987,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed1
temperature,temperature_ood_0700K,small,20,600,1,320,69120,0.009837176332349087,0.016012994730860597,9.892781038800536e-15,0.2441956277936697,0.0011305353138595822,0.01039411028122417,0.018177309994219754,0.009280242383474004,0.0135061986463689,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed1
temperature,temperature_ood_0600K,small,20,600,2,320,69120,0.015583101338924887,0.02300837336052104,8.96192842159138e-15,1.0848870773334056,0.0050226253580250265,0.01776243957554119,0.025619017203988723,0.013403763102308595,0.02006081869954461,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed2
temperature,temperature_ood_0650K,small,20,600,2,320,69120,0.01921832284010453,0.027706188160881166,8.485746827435747e-15,1.3380563229322433,0.006194705198760386,0.02117456570143916,0.030161795136622097,0.017262079978769898,0.02501063451711577,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed2
temperature,temperature_ood_0700K,small,20,600,2,320,69120,0.023496209323085618,0.033671077203394593,8.23421192341911e-15,1.5870708068156092,0.007347550031553746,0.02525229001475639,0.036278136348994836,0.02174012863141484,0.030844443634432072,baseline,temperature_low_train__baseline__small__n020_te0600_r1_seed2
temperature,temperature_ood_0600K,small,40,300,0,320,69120,0.02733709771190984,0.03805769192176455,8.458338196515313e-15,0.27699830597266556,0.0012823995646882665,0.027345116743201513,0.03792852077646905,0.027329078680618162,0.03818642612935703,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed0
temperature,temperature_ood_0650K,small,40,300,0,320,69120,0.03331380743255988,0.04507522291796139,7.882930419533806e-15,0.30162339499220253,0.0013964046064453822,0.03324860263612972,0.04463046365185893,0.03337901222899004,0.04551563639484703,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed0
temperature,temperature_ood_0700K,small,40,300,0,320,69120,0.040059902754565,0.053057200130876836,7.284624292669406e-15,0.3498740282841027,0.001619787167981957,0.03991070974571726,0.05236018672850424,0.04020909576341273,0.053745174827253134,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed0
