task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cl,element_rmse_Cl,element_mae_Na,element_rmse_Na,mode,run_id
temperature,temperature_ood_0600K,small,40,300,1,320,69120,0.00861122717225569,0.013653015110400367,8.764863834720416e-15,0.1685637140646577,0.0007803875651141561,0.009093215371084762,0.015320814295444556,0.008129238973426618,0.011750842205312062,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed1
temperature,temperature_ood_0650K,small,40,300,1,320,69120,0.010411262761166547,0.016295067154502352,8.800599138325537e-15,0.23534017857164144,0.0010895378637575993,0.010833403142105244,0.018181610489369608,0.009989122380227849,0.014159359701354002,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed1
temperature,temperature_ood_0700K,small,40,300,1,320,69120,0.012479721582689502,0.019215769073535185,8.579248422790898e-15,0.2939329471439123,0.0013608006812218163,0.012842115959160882,0.021294646535139166,0.012117327206218118,0.016882819406673407,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed1
temperature,temperature_ood_0600K,small,40,300,2,320,69120,0.024101035253249237,0.033688817053673235,7.821868153179423e-15,1.0755770581774413,0.004979523417488155,0.026343216272872654,0.036694899290847294,0.021858854233625824,0.03038679244320308,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed2
temperature,temperature_ood_0650K,small,40,300,2,320,69120,0.029457088680365392,0.04007214776970806,8.067851942072935e-15,1.330323578696698,0.006158905456929158,0.03137404756129953,0.04292258473491633,0.02754012979943125,0.037002780617523386,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed2
temperature,temperature_ood_0700K,small,40,300,2,320,69120,0.03560795334530039,0.047761434684434584,7.652732614271684e-15,1.5869064047234134,0.007346788910756543,0.03726264222408725,0.05079817236801222,0.03395326446651354,0.044518029721684026,baseline,temperature_low_train__baseline__small__n040_te0300_r1_seed2
temperature,temperature_ood_0600K,small,40,600,0,320,69120,0.01064062044465616,0.016676396643650636,8.553227570651246e-15,0.23497270764783024,0.0010878366094806955,0.011141182455861499,0.017394992443575442,0.010140058433450823,0.015925408877660804,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed0
temperature,temperature_ood_0650K,small,40,600,0,320,69120,0.01315300541405952,0.020482034077994437,8.646208748963602e-15,0.25657950025051834,0.0011878680567153626,0.013637655203991452,0.020991895284606977,0.012668355624127586,0.019959152594845955,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed0
temperature,temperature_ood_0700K,small,40,600,0,320,69120,0.016220403632752095,0.0252418972999491,8.545074370314153e-15,0.2795356860850006,0.001294146694837966,0.016647482056620075,0.0256495552604781,0.01579332520888412,0.02482754666780501,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed0
temperature,temperature_ood_0600K,small,40,600,1,320,69120,0.005151598611602237,0.008936102583705325,9.500039643839386e-15,0.09874522946774959,0.00045715384012847034,0.005831115835299012,0.01061193153484292,0.004472081387905463,0.006862562777331539,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed1
temperature,temperature_ood_0650K,small,40,600,1,320,69120,0.006238237428044535,0.01089549292412546,9.558673297327402e-15,0.12206333316862583,0.0005651080239288232,0.00701429361425754,0.012884499273324712,0.00546218124183153,0.008450633739254759,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed1
temperature,temperature_ood_0700K,small,40,600,1,320,69120,0.00751351639723427,0.013079496161951833,9.050052374171003e-15,0.14384468449279667,0.0006659476133925771,0.008395582640659196,0.015357154210479262,0.0066314501538093425,0.010310395446178802,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed1
temperature,temperature_ood_0600K,small,40,600,2,320,69120,0.008488852719645225,0.013636782455572984,9.283199209342285e-15,0.6146345068700612,0.002845530124398431,0.009638878497849532,0.014812084992505324,0.0073388269414409206,0.01235013399344496,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed2
temperature,temperature_ood_0650K,small,40,600,2,320,69120,0.010355266905633254,0.016686680345645986,8.80788497692464e-15,0.7652841004543006,0.003542981946547688,0.011521070149102133,0.01764315829507222,0.009189463662164377,0.015671935658704075,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed2
temperature,temperature_ood_0700K,small,40,600,2,320,69120,0.012693082327462153,0.020920487713676685,8.83858958244943e-15,0.905869936288218,0.004193842297630638,0.013860532172264765,0.02193388379799206,0.011525632482659537,0.0198554363813132,baseline,temperature_low_train__baseline__small__n040_te0600_r1_seed2
temperature,temperature_ood_0600K,small,80,300,0,320,69120,0.013767462615763695,0.020716590809793833,8.844487642267751e-15,0.257459519803524,0.0011919422213126111,0.01419819797024633,0.021382881105779333,0.013336727261281057,0.020028146823332753,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed0
temperature,temperature_ood_0650K,small,80,300,0,320,69120,0.01706453803897563,0.025258553288283376,8.476032375970278e-15,0.27995797945186496,0.001296101756721597,0.017475847149003024,0.025697227295966834,0.016653228928948226,0.024812124812952217,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed0
temperature,temperature_ood_0700K,small,80,300,0,320,69120,0.020974260915006256,0.030780800408441104,8.11156697366755e-15,0.3086922257905826,0.0014291306749564007,0.021324040434321734,0.03109948238348059,0.02062448139569078,0.030458784333064842,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed0
temperature,temperature_ood_0600K,small,80,300,1,320,69120,0.005687699388614914,0.009677885581346364,9.476100459870907e-15,0.11408974723890423,0.0005281932742541862,0.006347601791167956,0.011371841785972465,0.00502779698606187,0.007616045761815919,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed1
temperature,temperature_ood_0650K,small,80,300,1,320,69120,0.00689521241670095,0.011770492696707375,9.206177487008915e-15,0.1456635884940624,0.0006743684652502889,0.00762981163695217,0.013774262779647741,0.00616061319644973,0.009346586624201063,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed1
temperature,temperature_ood_0700K,small,80,300,1,320,69120,0.008300994903678638,0.014090265107929666,8.426245812209742e-15,0.16993337562307714,0.0007867285908475794,0.009109815037956227,0.01637069135383332,0.007492174769401045,0.011360968542382619,baseline,temperature_low_train__baseline__small__n080_te0300_r1_seed1
