material,task,condition,role,structure_index,distance,retained_pcs_95pct
NaCl,deformation,lambda=0.50,high,40,4.7446693932162205,14
NaCl,deformation,lambda=0.50,high,41,5.295423650993283,14
NaCl,deformation,lambda=0.50,high,42,5.514714303587682,14
NaCl,deformation,lambda=0.50,high,43,4.45239587814172,14
NaCl,deformation,lambda=0.50,high,44,4.915700699254308,14
NaCl,deformation,lambda=0.50,high,45,5.583397242652597,14
NaCl,deformation,lambda=0.50,high,46,6.134856421293731,14
NaCl,deformation,lambda=0.50,high,47,4.051357628750146,14
NaCl,deformation,lambda=0.50,high,48,5.568564254507527,14
NaCl,deformation,lambda=0.50,high,49,5.228291862192513,14
NaCl,deformation,lambda=0.50,high,50,6.458362772831409,14
NaCl,deformation,lambda=0.50,high,51,6.4327379737385595,14
NaCl,deformation,lambda=0.50,high,52,5.518895031309636,14
NaCl,deformation,lambda=0.50,high,53,4.246618403487209,14
NaCl,deformation,lambda=0.50,high,54,5.034898984128507,14
NaCl,deformation,lambda=0.50,high,55,4.9425194731735544,14
NaCl,deformation,lambda=0.50,high,56,5.593889190468869,14
NaCl,deformation,lambda=0.50,high,57,5.546128843835223,14
NaCl,deformation,lambda=0.50,high,58,4.2327686276683965,14
NaCl,deformation,lambda=0.50,high,59,3.859430306204164,14
NaCl,deformation,lambda=0.50,high,60,4.409124073987797,14
NaCl,deformation,lambda=0.50,high,61,4.586036516275568,14
NaCl,deformation,lambda=0.50,high,62,5.186644298969136,14
NaCl,deformation,lambda=0.50,high,63,4.833327714120238,14
NaCl,deformation,lambda=0.50,high,64,4.032967916425648,14
NaCl,deformation,lambda=0.50,high,65,4.954020215547158,14
NaCl,deformation,lambda=0.50,high,66,5.715748106559593,14
NaCl,deformation,lambda=0.50,high,67,3.4772101876832275,14
NaCl,deformation,lambda=0.50,high,68,6.038790567490402,14
NaCl,deformation,lambda=0.50,high,69,6.0750817228794425,14
NaCl,deformation,lambda=0.50,high,70,4.835229225599913,14
NaCl,deformation,lambda=0.50,high,71,5.374989353465552,14
NaCl,deformation,lambda=0.50,high,72,5.288418111409498,14
NaCl,deformation,lambda=0.50,high,73,3.456459547362107,14
NaCl,deformation,lambda=0.50,high,74,4.8522361582162885,14
NaCl,deformation,lambda=0.50,high,75,4.615505091319036,14
NaCl,deformation,lambda=0.50,high,76,4.552953438939989,14
NaCl,deformation,lambda=0.50,high,77,5.459342856569833,14
NaCl,deformation,lambda=0.50,high,78,4.649859190960332,14
NaCl,deformation,lambda=0.50,high,79,5.457006184940484,14
NaCl,deformation,lambda=0.75,high,0,7.283532652525314,14
NaCl,deformation,lambda=0.75,high,1,9.19447888472543,14
NaCl,deformation,lambda=0.75,high,2,7.602280583579691,14
NaCl,deformation,lambda=0.75,high,3,9.268945951685428,14
NaCl,deformation,lambda=0.75,high,4,8.162764585440566,14
NaCl,deformation,lambda=0.75,high,5,8.279027454528666,14
NaCl,deformation,lambda=0.75,high,6,7.3810293938786495,14
NaCl,deformation,lambda=0.75,high,7,8.575484590802397,14
NaCl,deformation,lambda=0.75,high,8,8.200994863933714,14
NaCl,deformation,lambda=0.75,high,9,7.174604474496651,14
NaCl,deformation,lambda=0.75,high,10,9.077065120197405,14
NaCl,deformation,lambda=0.75,high,11,8.165379426507245,14
NaCl,deformation,lambda=0.75,high,12,10.202431049173375,14
NaCl,deformation,lambda=0.75,high,13,7.5287985619083,14
NaCl,deformation,lambda=0.75,high,14,8.625378696540135,14
NaCl,deformation,lambda=0.75,high,15,8.850073054142788,14
NaCl,deformation,lambda=0.75,high,16,7.13896775713345,14
NaCl,deformation,lambda=0.75,high,17,8.926760761567488,14
NaCl,deformation,lambda=0.75,high,18,8.066689776814624,14
NaCl,deformation,lambda=0.75,high,19,7.669931236141223,14
NaCl,deformation,lambda=0.75,high,20,8.438689645837488,14
NaCl,deformation,lambda=0.75,high,21,8.828352856157178,14
NaCl,deformation,lambda=0.75,high,22,8.981191218180433,14
