cutoff_radius_over_r0,radius_squared,shell_multiplicity,shell_charge,shell_madelung_contribution,direct_madelung_sum,local_charge,delta_q,image_charge_correction,neutralized_madelung_sum,reference,direct_error,neutralized_error
53.563046963368315,2869,480,-480,-8.961402071250097,-6.997116538884557,-281,281,5.246154129211049,-1.750962409673508,-1.7475645946331821,-5.249551944251374,-0.003397815040325769
53.5723809439155,2870,672,672,12.543777001501988,5.546660462617432,391,-391,-7.298536916052599,-1.751876453435167,-1.7475645946331821,7.294225057250614,-0.004311858801984814
53.59104402789705,2872,144,144,2.6870161351034674,8.2336765977209,535,-535,-9.983011335280265,-1.7493347375593657,-1.7475645946331821,9.981241192354082,-0.0017701429261836044
53.600373133029585,2873,624,-624,-11.641710001744025,-3.4080334040231257,-89,89,1.6604362021718182,-1.7475972018513075,-1.7475645946331821,-1.6604688093899436,-3.260721812536893e-05
53.60970061472084,2874,480,480,8.95360344295966,5.545570038936534,391,-391,-7.293456137910872,-1.7478860989743383,-1.7475645946331821,7.293134633569716,-0.00032150434115618687
53.61902647381804,2875,288,-288,-5.371227695464191,0.17434234347234234,103,-103,-1.9209599049750465,-1.7466175615027042,-1.7475645946331821,1.9219069381055245,0.0009470331304779478
53.637673327615545,2877,480,-480,-8.948934027547956,-8.774591684075613,-377,377,7.028641934136622,-1.7459497499389913,-1.7475645946331821,-7.027027089442431,0.00161484469419082
53.646994324006634,2878,192,192,3.578951671372236,-5.195640012703377,-185,185,3.4484690583534494,-1.7471709543499276,-1.7475645946331821,-3.4480754180701947,0.00039364028325450384
53.665631459994955,2880,72,72,1.341640786499874,-3.853999226203503,-113,113,2.105630678812302,-1.748368547391201,-1.7475645946331821,-2.1064346315703206,-0.000803952758018811
53.67494760127857,2881,336,-336,-6.259903642495552,-10.113902868699055,-449,449,8.365168855596695,-1.7487340131023608,-1.7475645946331821,-8.366338274065873,-0.001169418469178618
53.68426212587819,2882,768,768,14.305868602593387,4.191965733894332,319,-319,-5.942151151337663,-1.7501854174433316,-1.7475645946331821,5.939530328527514,-0.0026208228101494147
53.693575034635195,2883,248,-248,-4.618802153517035,-0.42683641962270347,71,-71,-1.3223183584665623,-1.7491547780892658,-1.7475645946331821,1.3207281750104787,-0.001590183456083638
53.70288632839021,2884,192,192,3.575226829074533,3.1483904094518294,263,-263,-4.8973159169093705,-1.7489255074575412,-1.7475645946331821,4.895955004085011,-0.0013609128243590174
53.71219600798314,2885,432,-432,-8.042866092010009,-4.894475682558179,-169,169,3.1463990035872276,-1.7480766789709512,-1.7475645946331821,-3.1469110879249964,-0.0005120843377690587
53.72150407425317,2886,480,480,8.934969492599201,4.040493810041022,311,-311,-5.789115650413284,-1.7486218403722615,-1.7475645946331821,5.788058404674205,-0.0010572457390793932
